timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733347259953,16,Delete character,200,OK,Thread Group 1000 1-15,text,true,,249,216,70,70,http://localhost:3001/character/4,16,0,0
1733347259955,16,Delete character,200,OK,Thread Group 1000 1-13,text,true,,249,216,71,71,http://localhost:3001/character/4,16,0,0
1733347259956,16,Get character by id,200,OK,Thread Group 1000 1-12,text,true,,235,130,72,72,http://localhost:3001/character/4,16,0,0
1733347259957,17,Delete character,200,OK,Thread Group 1000 1-14,text,true,,249,216,72,72,http://localhost:3001/character/4,17,0,0
1733347259894,80,Get characters,200,OK,Thread Group 1000 1-19,text,true,,327,129,72,72,http://localhost:3001/characters,80,0,0
1733347259956,18,Delete character,200,OK,Thread Group 1000 1-16,text,true,,249,216,73,73,http://localhost:3001/character/4,18,0,0
1733347259957,18,Get character by id,200,OK,Thread Group 1000 1-6,text,true,,235,130,73,73,http://localhost:3001/character/4,18,0,0
1733347259968,9,Delete character,200,OK,Thread Group 1000 1-26,text,true,,249,216,74,74,http://localhost:3001/character/4,9,0,0
1733347259959,19,Create character,200,OK,Thread Group 1000 1-1,text,true,,235,242,75,75,http://localhost:3001/character,19,0,0
1733347259972,6,Modify character,200,OK,Thread Group 1000 1-12,text,true,,235,241,75,75,http://localhost:3001/character/4,6,0,0
1733347259895,85,Get characters,200,OK,Thread Group 1000 1-27,text,true,,327,129,76,76,http://localhost:3001/characters,85,0,0
1733347259978,3,Delete character,200,OK,Thread Group 1000 1-12,text,true,,249,216,77,77,http://localhost:3001/character/4,3,0,0
1733347259978,3,Get character by id,200,OK,Thread Group 1000 1-1,text,true,,235,130,78,78,http://localhost:3001/character/4,3,0,0
1733347259975,8,Create character,200,OK,Thread Group 1000 1-19,text,true,,235,242,79,79,http://localhost:3001/character,8,0,0
1733347259975,9,Modify character,200,OK,Thread Group 1000 1-6,text,true,,235,241,79,79,http://localhost:3001/character/4,9,0,0
1733347259898,88,Get characters,200,OK,Thread Group 1000 1-29,text,true,,327,129,81,81,http://localhost:3001/characters,88,0,0
1733347259981,7,Modify character,200,OK,Thread Group 1000 1-1,text,true,,235,241,81,81,http://localhost:3001/character/4,7,0,0
1733347259984,5,Get character by id,200,OK,Thread Group 1000 1-19,text,true,,235,130,82,82,http://localhost:3001/character/4,5,0,0
